22	24	25	18	26	19	13	13	32	12	15	18	18	22	8	19	4	30	23	4	22	4	28	3	1	13	15	2	23	8	16	30	25	12	16	19	24	14	2	21	6	29	2	16	27	4	20	30	23	25
25	5	27	22	16	10	21	18	25	29	14	3	22	17	6	1	27	14	1	10	30	32	23	10	19	27	1	3	13	18	29	5	26	13	26	11	24	27	7	6	13	4	31	1	22	15	21	12	16	7
2	13	28	13	14	21	30	25	13	28	25	4	26	6	8	14	13	14	15	5	29	17	13	7	26	11	4	28	12	26	1	13	16	20	16	23	9	2	12	12	1	17	18	15	9	5	24	17	16	12
32	11	5	25	20	17	14	31	14	17	14	2	9	23	29	17	32	24	8	15	13	22	30	17	32	17	4	5	5	5	22	19	29	31	32	30	14	5	21	19	13	32	18	7	5	22	30	26	8	2
3	29	29	29	13	27	17	5	23	2	22	7	9	18	24	27	30	20	26	21	20	24	28	21	32	20	13	22	1	18	21	12	3	8	29	3	19	19	19	26	29	16	2	7	11	4	19	3	7	26
20	21	22	30	2	5	11	13	3	26	6	2	20	7	8	25	14	9	21	13	17	32	27	20	14	19	23	19	4	20	29	12	12	18	1	6	13	14	26	12	2	27	21	8	6	3	32	25	13	28
5	11	23	16	10	9	19	6	21	6	27	17	22	14	26	3	10	16	22	31	27	18	19	5	2	5	2	24	15	6	18	16	12	26	16	17	17	16	22	27	13	20	17	5	31	23	4	4	9	32
17	1	19	25	8	20	28	27	4	22	22	3	1	22	18	21	8	29	18	25	2	23	3	6	32	20	1	19	24	21	23	3	23	20	28	26	18	27	29	14	9	22	26	31	7	14	15	13	10	31
3	12	31	23	32	21	10	3	4	27	26	15	28	32	14	22	7	22	9	18	21	22	1	16	8	17	5	6	2	3	14	2	28	24	11	21	27	6	16	31	2	9	3	6	10	32	4	23	7	16
25	32	9	31	25	14	27	28	22	31	12	8	5	18	7	24	25	19	27	19	14	21	8	1	31	25	30	24	8	25	27	27	24	4	24	1	24	11	18	10	13	27	19	19	22	18	24	2	14	10
25	17	26	8	13	29	17	24	6	5	22	18	17	26	10	18	25	29	29	11	28	26	3	24	31	22	28	20	1	11	22	1	4	27	14	11	22	7	27	12	8	8	14	6	15	25	26	22	8	23
20	24	16	18	24	26	8	28	25	17	7	15	18	11	3	4	32	9	15	17	23	12	24	19	11	16	13	18	27	16	4	23	20	10	4	21	2	4	1	21	27	22	18	9	19	28	17	32	14	24
1	12	29	2	10	18	14	29	25	28	8	27	1	17	8	21	3	32	19	25	9	16	28	6	25	31	6	24	13	13	5	15	17	14	11	22	5	17	8	19	21	3	12	22	28	26	14	8	24	28
2	15	9	30	17	13	6	5	10	18	8	11	14	27	22	22	8	7	20	1	5	3	18	30	21	9	12	11	10	11	6	32	20	3	11	16	29	7	8	12	16	1	32	17	19	7	3	9	7	7
6	7	1	31	7	13	30	18	19	24	9	8	18	32	12	9	32	27	24	16	18	30	20	18	28	23	30	3	26	32	4	26	1	22	21	2	25	29	18	16	23	16	15	6	16	22	19	3	32	13
32	27	3	17	9	4	2	10	21	26	14	31	23	6	27	31	18	24	19	29	32	18	16	32	31	7	21	3	9	29	8	13	10	28	30	21	6	2	23	22	4	31	12	3	27	1	9	3	9	26
9	12	29	19	14	30	20	9	26	27	27	15	29	28	22	15	18	28	26	28	12	17	30	2	7	22	16	11	9	10	14	13	2	16	23	17	3	29	9	2	25	11	7	29	26	26	3	11	3	8
25	2	21	25	3	8	4	1	7	22	31	1	3	32	20	28	12	19	27	8	32	9	20	27	14	8	13	8	30	6	22	5	13	4	11	24	6	19	17	20	10	11	30	8	32	7	24	27	22	16
9	23	24	8	28	5	11	17	22	29	21	3	10	15	14	21	23	8	18	24	17	29	20	3	24	7	29	24	6	17	11	12	25	4	22	13	27	28	24	24	17	2	4	31	31	32	24	17	4	25
9	5	17	13	30	17	5	1	27	21	5	18	17	10	21	20	16	16	29	19	7	1	28	31	19	12	32	20	2	5	17	7	9	4	3	27	32	1	24	26	4	22	15	29	30	31	12	13	15	20
9	26	18	10	7	15	16	29	14	31	14	7	10	30	28	18	16	28	7	17	1	4	13	12	31	17	25	4	31	21	27	11	20	16	13	10	25	11	15	7	27	24	22	6	16	19	6	6	18	7
10	1	12	18	16	3	21	9	16	21	30	5	14	8	10	21	18	26	14	22	10	2	3	22	15	22	27	24	10	8	29	18	21	20	7	28	26	17	23	21	17	29	5	17	24	6	17	32	30	16
1	19	26	31	27	19	27	16	17	28	11	7	32	32	11	28	1	6	21	21	2	8	24	23	20	10	10	30	14	4	23	28	9	2	23	1	1	7	18	24	15	14	30	4	20	23	3	24	27	32
32	16	25	13	10	23	15	21	31	20	20	24	2	13	28	25	18	32	4	3	19	16	28	23	3	13	31	27	26	1	27	4	16	3	22	25	28	14	3	4	5	4	2	4	24	14	25	11	16	7
19	32	23	2	20	16	25	1	2	12	30	31	30	3	17	22	5	1	23	14	23	15	17	23	8	25	15	22	12	28	10	27	5	32	12	27	22	1	31	3	21	2	7	23	13	15	16	30	29	8
20	5	31	22	15	3	20	4	19	27	15	5	22	5	30	2	15	13	16	7	22	9	15	1	4	11	6	25	4	5	26	30	3	10	6	22	12	19	32	29	12	29	3	9	30	10	31	19	27	14
18	22	25	16	13	6	32	15	16	14	17	29	16	16	7	1	3	25	13	23	12	18	4	8	25	3	20	5	26	13	30	8	26	16	6	29	16	30	6	12	22	21	14	31	28	28	4	9	7	26
2	4	32	10	26	4	4	20	12	5	30	23	15	2	7	12	29	32	15	9	4	8	11	26	1	2	22	3	5	3	2	7	6	21	8	7	31	3	14	23	25	30	20	27	23	16	23	16	22	28
16	6	19	14	15	19	27	27	22	31	30	18	18	9	28	1	13	5	12	14	21	12	6	26	31	5	14	24	7	4	15	25	5	23	11	12	2	27	20	18	1	29	24	3	9	26	26	14	24	25
18	32	20	28	15	3	27	14	25	28	29	3	10	26	4	17	14	30	8	27	3	6	24	26	27	16	12	32	5	12	8	1	31	4	28	8	7	24	19	11	9	16	29	13	17	26	24	10	21	14
22	26	21	27	32	13	26	30	18	18	17	26	6	26	16	1	24	8	30	26	21	22	6	1	22	13	23	8	8	6	16	16	2	4	4	28	5	8	12	12	22	22	12	4	7	18	15	22	13	9
18	8	11	6	31	5	15	20	2	22	21	26	20	26	27	16	5	18	26	28	27	3	22	2	1	22	9	18	8	24	20	1	22	30	6	24	18	17	29	29	11	24	23	18	4	13	18	26	2	19
2	28	2	22	8	14	17	1	8	32	19	25	32	2	23	13	19	14	11	16	2	11	15	3	9	4	22	3	24	5	7	26	12	11	12	28	8	11	22	15	25	14	2	6	19	22	20	12	13	18
20	2	26	32	8	21	32	22	1	6	6	18	17	25	15	31	17	26	6	30	12	17	1	28	5	6	19	18	4	24	28	1	6	24	20	12	3	20	4	16	18	5	27	27	16	22	2	15	2	11
19	18	23	26	22	12	31	7	11	18	20	21	22	26	6	2	12	5	4	2	20	18	23	16	23	32	11	15	22	27	9	6	9	23	2	5	17	7	22	32	28	10	11	9	8	6	32	31	8	8
18	3	3	24	14	29	25	1	15	13	11	14	17	1	18	3	22	7	26	31	21	12	26	24	3	14	22	8	30	3	23	8	24	16	8	31	27	14	7	14	19	18	8	17	15	25	9	9	27	21
27	32	5	10	24	14	15	24	26	18	5	10	7	13	32	28	26	19	23	12	7	21	11	7	29	30	2	19	21	2	28	32	28	3	27	15	22	26	3	12	29	9	12	26	5	6	21	24	16	12
15	19	22	6	24	30	18	18	18	4	7	7	19	28	26	26	15	7	3	27	20	6	16	22	18	8	18	21	11	16	30	14	9	29	22	24	2	15	12	3	8	29	4	18	17	11	5	28	7	15
20	18	18	28	26	27	26	26	16	15	11	25	31	31	2	30	21	29	4	31	18	24	2	15	4	32	20	30	27	20	31	3	12	27	12	21	2	22	2	13	26	19	10	17	32	28	6	24	30	14
4	11	7	20	9	4	9	3	23	15	31	30	23	30	23	3	30	19	30	29	29	30	8	32	15	5	10	26	29	22	22	9	14	14	4	5	18	29	5	6	2	23	1	28	27	19	16	7	6	20
9	28	2	13	32	4	9	12	1	20	32	20	1	18	32	20	15	30	28	23	23	32	23	10	5	25	12	32	16	16	21	14	27	15	11	28	5	31	15	5	3	28	9	8	1	9	10	14	23	3
28	17	20	25	16	5	7	10	23	22	28	18	12	10	7	17	5	25	10	22	12	29	5	4	14	32	28	15	19	18	20	14	24	18	8	32	23	32	32	12	13	29	27	5	3	30	17	20	9	15
1	1	2	23	3	21	18	19	10	19	15	29	21	19	31	11	18	16	4	32	8	9	8	18	23	16	20	5	19	18	16	4	7	13	23	31	8	29	27	6	6	31	26	18	1	22	4	19	5	30
