0.18943	0.25517	0.34558
0.43545	0.73993	0.81274
0.91241	0.40561	0.004961
0.19012	0.53923	0.23773
0.70902	0.15875	0.031866
0.76364	0.96961	0.67694
0.27215	0.56556	0.85161
0.29507	0.13014	0.76941
0.96122	0.531	0.57645
0.2134	0.23743	0.2688
0.38059	0.86002	0.91612
0.66773	0.91989	0.83665
0.37416	0.58504	0.93032
0.68313	0.34099	0.8864
0.97532	0.99418	0.76456
0.66892	0.68112	0.6079
0.69743	0.17886	0.74767
0.2475	0.23584	0.2982
0.87253	0.7364	0.72126
0.77657	0.55546	0.90146
0.14008	0.039626	0.044069
0.25278	0.55715	0.34249
0.55708	0.97523	0.2384
0.50985	0.70883	0.070693
0.97601	0.96641	0.44843
0.77991	0.89962	0.070638
0.24295	0.58017	0.90404
0.08868	0.71334	0.45107
0.80345	0.84369	0.52784
0.70319	0.68829	0.97139
0.92565	0.16247	0.79868
0.40248	0.1404	0.52446
